Country,InorOut,Develop,1960,1970,1980,1990,2000
Iraq,Movein,Developing,87079,73220,66007,79233,17469
Ireland,Movein,Developed,72885,130258,222979,227743,383966
Isle of Man,Movein,Developing,0,0,0,0,0
Israel,Movein,Developed,1184058,1406939,1428872,1622029,2231221
Italy,Movein,Developed,433695,849494,1092616,1394692,2041540
Jamaica,Movein,Developing,21589,26000,22979,20620,24201
Japan,Movein,Developed,692633,725097,800547,1068791,1682127
Jordan,Movein,Developing,6670,18504,65676,153262,251804
Kazakhstan,Movein,Developing,2164095,3119091,3315736,3595914,2835254
Kenya,Movein,Developing,58700,157788,153777,147356,536289
Kiribati,Movein,Developing,563,554,1599,2053,1973
"Korea, Dem. Rep.",Movein,Developing,25053,28538,31537,34058,36069
"Korea, Rep.",Movein,Developing,135462,179853,526107,570259,559185
Kosovo,Movein,Developing,0,0,0,0,0
Kuwait,Movein,Developing,90222,462370,903113,1502130,1418464
Kyrgyz Republic,Movein,Developing,396477,512017,564345,638399,397412
Lao PDR,Movein,Developing,19624,20668,21730,22844,21713
Latvia,Movein,Developing,428205,559582,634425,738888,434549
Lebanon,Movein,Developing,11383,12572,9612,201822,302374
Lesotho,Movein,Developing,3147,4101,5204,5837,5979
Liberia,Movein,Developing,28769,49080,80663,80663,76727
Libya,Movein,Developing,47436,112087,284957,419786,502596
Liechtenstein,Movein,Developed,4050,7004,9036,10614,10805
Lithuania,Movein,Developing,424509,481120,528480,614258,204060
Luxembourg,Movein,Developed,46141,58519,83191,111748,133792
"Macao SAR, China",Movein,Developing,79766,31975,115807,200071,240210
"Macedonia, FYR",Movein,Developing,10970,11149,19987,94089,109310
Madagascar,Movein,Developing,125782,72298,50603,45914,41495
Malawi,Movein,Developing,297579,292341,284438,279432,274511
Malaysia,Movein,Developing,56880,736169,674256,950207,1499038
Maldives,Movein,Developing,1696,1904,2212,2626,3009
Mali,Movein,Developing,167565,164496,161476,158512,155619
Malta,Movein,Developing,1704,10373,6284,5740,8649
Marshall Islands,Movein,Developing,839,1027,1255,1539,1592
Mauritania,Movein,Developing,12050,20146,33701,56179,62093
Mauritius,Movein,Developing,9973,10242,9254,8611,38713
Mexico,Movein,Developing,222877,193488,269305,344401,498892
"Micronesia, Fed. Sts.",Movein,Developing,5718,5179,4466,3663,3050
Moldova,Movein,Developing,325242,421117,488611,583469,478438
Monaco,Movein,Developed,15320,15448,17185,19715,21348
Mongolia,Movein,Developing,3670,4486,5483,6698,8185
Montenegro,Movein,Developing,0,0,0,0,0
Morocco,Movein,Developing,390975,125654,70565,59718,54672
Mozambique,Movein,Developing,8942,7748,29655,120850,363851
Myanmar,Movein,Developing,285696,271756,187564,133365,97877
Namibia,Movein,Developing,27141,43518,69777,111866,107104
Naura,Movein,Developing,374,1562,3170,3885,4530
Nepal,Movein,Developing,337632,337378,242424,413278,588937
Netherlands,Movein,Developed,444482,251382,464368,1116026,1443798
New Caledonia,Movein,Developing,10819,15501,28858,31491,40857
New Zealand,Movein,Developed,327216,396034,447334,496452,659664
Nicaragua,Movein,Developing,12333,20821,23404,25100,30038
Niger,Movein,Developing,54922,74148,100101,135199,165196
Nigeria,Movein,Developing,93927,157659,1263682,443451,743560
Northern Mariana Islands,Movein,Developing,2627,3554,4806,26882,44818
Norway,Movein,Developed,61413,77273,121263,190719,284815
Oman,Movein,Developing,43348,62368,145054,420741,619453
Pakistan,Movein,Developing,6350160,5105232,4098143,3289723,2640769
Palau,Movein,Developing,302,413,561,2821,6186
Panama,Movein,Developing,67401,58488,45605,59870,82625
Papua New Guinea,Movein,Developing,20126,49639,32979,25549,19186
Paraguay,Movein,Developing,49995,70287,144630,183138,174866
Peru,Movein,Developing,65856,65734,62540,55062,45006
Philippines,Movein,Developing,219406,216763,120553,136011,318676
Poland,Movein,Developing,2411006,2076078,1536056,1121560,818058
Portugal,Movein,Developed,38340,100204,261835,431349,630306
Puerto Rico,Movein,Developing,63911,188568,270884,321599,349916
Qatar,Movein,Developing,11047,68109,146966,342481,454816
Romania,Movein,Developing,327020,280533,197967,141102,130574
Russian Federation,Movein,Developing,6159132,7318057,8248485,10572589,12047351
Rwanda,Movein,Developing,28515,29701,36262,39132,71544
Samoa,Movein,Developing,3017,3190,4103,3002,5509
San Marino,Movein,Developed,7514,7901,8071,8482,8916
Sao Tome and Principe,Movein,Developing,7420,7060,6715,5788,5509
Saudi Arabia,Movein,Developing,62235,350566,1787727,4657711,5038711
Senegal,Movein,Developing,167982,108162,114099,212803,209826
Serbia,Movein,Developing,0,0,0,0,0
Seychelles,Movein,Developing,829,2454,3110,3703,6507
Sierra Leone,Movein,Developing,45888,75290,92970,91508,90092
Singapore,Movein,Developing,519150,530769,526921,726899,1351540
Slovak Republic,Movein,Developing,10682,11805,13049,40316,116493
Slovenia,Movein,Developing,18029,18324,32806,150124,142610
Solomon Islands,Movein,Developing,3620,3978,4090,4619,5903
Somalia,Movein,Developing,11260,11631,17072,16678,16915
South Africa,Movein,Developing,924513,958400,980304,1221359,989799
Spain,Movein,Developed,209371,353153,604947,828511,1748255
Sri Lanka,Movein,Developing,1005297,1085408,661887,458812,394879
St. Kitts and Nevis,Movein,Developing,2502,1930,1838,2980,3513
St. Lucia,Movein,Developing,2355,2828,3410,5207,6823
St. Vincent and the Grenadines,Movein,Developing,2464,2265,2102,3947,6295
Sudan,Movein,Developing,215778,205866,264081,328820,396705
Suriname,Movein,Developing,22425,16269,11801,18007,27480
Swaziland,Movein,Developing,16873,33578,28310,32797,35946
Sweden,Movein,Developed,294779,506605,586440,750163,918798
Switzerland,Movein,Developing,704965,1076727,1019987,1285363,1334465
Syrian Arab Republic,Movein,Developing,48182,205101,41186,58259,76617
Tajikistan,Movein,Developing,245425,320843,379075,435471,327546
Tanzania,Movein,Developing,475826,441005,388282,301510,224179
Thailand,Movein,Developing,484765,347157,270653,283251,674360
Togo,Movein,Developing,101181,144667,152194,158976,163789
Tonga,Movein,Developing,97,406,1590,2750,1442
Trinidad and Tobago,Movein,Developing,78497,59261,61167,50248,41266
Tunisia,Movein,Developing,166059,51269,36048,37937,35740
Turkey,Movein,Developed,754316,763132,665655,980840,1146786
Turkmenistan,Movein,Developing,189743,258565,288392,318502,233474
Turks and Caicos Islands,Movein,Developing,171,453,1182,5071,5605
Tuvalu,Movein,Developing,332,334,318,303,202
Uganda,Movein,Developing,620053,618942,461600,350136,314366
Ukraine,Movein,Developing,4031769,5438349,6115984,6904777,5203897
United Arab Emirates,Movein,Developing,2100,63142,689367,1279139,2197772
United Kingdom,Movein,Developed,1672836,2958578,3383366,3741979,4801530
United States,Movein,Developed,10743285,11891033,16195380,22877186,34390792
Uruguay,Movein,Developing,190888,158157,114176,97527,87797
Uzbekistan,Movein,Developing,649241,1207543,1447997,1673576,1363986
Vanuatu,Movein,Developing,2766,3225,3352,2093,1193
"Venezuela, RB",Movein,Developing,508472,570725,946993,1019553,1012566
Vietnam,Movein,Developing,3997,4412,4867,7282,40174
Virgin Islands (U.S.),Movein,Developing,11739,32933,45210,48556,55180
"Virgin Islands, British",Movein,Developing,622,3077,3782,7423,8203
"Yemen, Rep.",Movein,Developing,158138,195779,242387,300075,350806
Zambia,Movein,Developing,351763,281869,207388,123855,112067
Zimbabwe,Movein,Developing,386516,498233,469910,443200,407622
