Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1970 [YR1970],1980 [YR1980],1990 [YR1990],2000 [YR2000],2010 [YR2010]
"Population, total",SP.POP.TOTL,Turkey,TUR,27553280,34772031,43905790,53994605,63240157,72310416
"Population, total",SP.POP.TOTL,Turkmenistan,TKM,1593501,2188499,2861000,3668000,4501419,5041995
"Population, total",SP.POP.TOTL,Turks and Caicos Islands,TCA,5724,5632,7525,11550,18876,30993
"Population, total",SP.POP.TOTL,Tuvalu,TUV,6104,7296,8051,9004,9419,9827
"Population, total",SP.POP.TOTL,Uganda,UGA,6788211,9446024,12547754,17384369,23757636,33149417
"Population, total",SP.POP.TOTL,Ukraine,UKR,42662150,47086758,49968811,51892000,49175848,45870700
"Population, total",SP.POP.TOTL,United Arab Emirates,ARE,92612,235434,1016789,1811458,3050128,8329453
"Population, total",SP.POP.TOTL,United Kingdom,GBR,52400000,55663250,56314216,57247586,58892514,62766365
"Population, total",SP.POP.TOTL,United States,USA,180671000,205052000,227225000,249623000,282162411,309346863
"Population, total",SP.POP.TOTL,Upper middle income,UMC,1175211032,1447088711,1746186708,2053526331,2304421224,2493277491
"Population, total",SP.POP.TOTL,Uruguay,URY,2538651,2809799,2915775,3109987,3321242,3374414
"Population, total",SP.POP.TOTL,Uzbekistan,UZB,8789492,11972994,15951899,20510000,24650400,28562400
"Population, total",SP.POP.TOTL,Vanuatu,VUT,63701,85388,115634,146633,185058,236299
"Population, total",SP.POP.TOTL,"Venezuela, RB",VEN,8146845,11587758,15343917,19861959,24481477,28995745
"Population, total",SP.POP.TOTL,Vietnam,VNM,34743000,42729000,53700000,66016700,77630900,86932500
"Population, total",SP.POP.TOTL,Virgin Islands (U.S.),VIR,32000,63000,97000,103963,108639,106267
"Population, total",SP.POP.TOTL,West Bank and Gaza,WBG,..,..,..,1978248,2922153,3811102
"Population, total",SP.POP.TOTL,World,WLD,3035055570,3684996710,4436734568,5283057867,6115444311,6923684085
"Population, total",SP.POP.TOTL,"Yemen, Rep.",YEM,5166311,6156234,8059381,11961099,17795219,23591972
"Population, total",SP.POP.TOTL,Zambia,ZMB,3049586,4185378,5929497,8143142,10585220,13917439
"Population, total",SP.POP.TOTL,Zimbabwe,ZWE,3752390,5206311,7289083,10484771,12499981,13973897
